;Marca;Gasolina_95;Gasolina_98;Gasoleo_A;Direccion;Poblacion;Horario;Fecha
0;EVOLUTION;1.239;1.285;1.157;CALLE PERE IV, 79;BARCELONA;L-V 05;2019-04-11 17:15:17.939432
1;PETROPRIX;1.229; -;1.139;CALLE BADAJOZ, 108;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
2;GALP;1.374;1.484;1.244;CALLE BAC DE RODA, 66;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
3;GALP;1.394;1.509;1.314;Almogavares, 66;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
4;SHELL GLORIAS;1.265;1.369;1.189;AVENIDA DIAGONAL, 189;BARCELONA;L-S 07;2019-04-11 17:15:17.939432
5;SHELL VILLA OLIMPICA;1.265;1.369;1.189;PASEO CALVELL, 2;BARCELONA;L-S 09;2019-04-11 17:15:17.939432
6;SARAS;1.319;1.459;1.229;C/TAULAT, 15 ESQ. CIUDAD DE GRANADA, 2-6-8;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
7;REPSOL;1.409;1.549;1.319;AVENIDA DEL LITORAL, 49;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
8;REPSOL;1.399;1.539;1.309;AVENIDA BOGATELL, 49;BARCELONA;L-V 07;2019-04-11 17:15:17.939432
9;REPSOL;1.399;1.539;1.309;CALLE BALMES, 288;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
10;PETROMIRALLES;1.259;1.372;1.259;CALLE PORT DE HAIFA, S/N;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
11;REPSOL;1.399; -;1.319;PASSEIG ZONA FRANCA, 82;BARCELONA;L-D 06;2019-04-11 17:15:17.939432
12;B-OIL;1.198; -;1.138;CALLE BAC DE RODA, 130;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
13;GALP;1.324;1.464;1.224;PASSEIG ZONA FRANCA, 81;BARCELONA;L-V 06;2019-04-11 17:15:17.939432
14;CEPSA;1.389;1.509;1.299;CALLE COMTE D'URGELL, 219;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
15;GALP;1.389;1.529;1.279;PASEO Pº VALLE DE HEBRÓN, 72;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
16;GALP;1.374;1.514;1.274;Pº de la Zona Franca, 221-239;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
17;CEPSA;1.379;1.494;1.289;CALLE CASANOVA, 89;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
18;CEPSA;1.379; -;1.279;RONDA SAN PABLO, 39;BARCELONA;L-S 07;2019-04-11 17:15:17.939432
19;REPSOL;1.399;1.539;1.319;CL PASEO ZONA FRANCA, 35;BARCELONA;L-D 06;2019-04-11 17:15:17.939432
20;CAMPSA;1.399;1.539;1.309;CALLE PUJADES, 154;BARCELONA;L-D 06;2019-04-11 17:15:17.939432
21;M AUTOMOCION;1.356;1.495;1.286;CALLE PERU, 171;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
22;GALP;1.229; -;1.149;CALLE ROC BORONAT, 10;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
23;GALP;1.329;1.459;1.259;AVINGUDA DEL PARALELO, 132;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
24;BP ALMOGAVARES;1.399;1.539;1.309;CL ALMOGAVARES 159 - 161;BARCELONA;L-J 06;2019-04-11 17:15:17.939432
25;GRATSA;1.369; -;1.279;CASANOVA 23;BARCELONA;L-D 06;2019-04-11 17:15:17.939432
26;CEPSA;1.379;1.494;1.279;CALLE LOPE DE VEGA, 125/139;BARCELONA;L-D 06;2019-04-11 17:15:17.939432
27;ESTACION SERVICIO UBACH SA;1.359;1.619;1.289;AVINGUDA PARAL.LEL, 25;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
28;REPSOL;1.389;1.509;1.299;PASEO DOCTOR PI Y MOLIST, 110;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
29;CONFORT AUTO;1.335;1.469;1.259;CARRER NUMERO TRES, 50;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
30;PETRONIEVES;1.319;1.409;1.219;CALLE LLETRA B DE LA ZONA FRANCA, 13;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
31;BP PEDRO IV;1.389;1.529;1.299;CALLE PEDRO IV, 440;BARCELONA;L-D 06;2019-04-11 17:15:17.939432
32;PREMOIL;1.199; -;1.148;CARRER PERE IV, 544;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
33;GARDENOIL;1.369; -;1.259;CALLE EDUARDO CONDE, 11;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
34;CEPSA;1.399;1.529;1.309;PASEO VALLDAURA, 210;BARCELONA;L-D 06;2019-04-11 17:15:17.939432
35;E.S.MOYANES;1.369;1.499;1.289;MOIANES, 34;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
36;PETROZAL;1.345;1.399;1.259;PASSATGE MOÇANVIC, S/N;BARCELONA;L-V 06;2019-04-11 17:15:17.939432
37;TORTUGA;1.349; -;1.259;CALLE MAJOR, 26;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
38;CEPSA;1.379;1.494;1.279;CALLE DIPUTACION, 9;BARCELONA;L-D 07;2019-04-11 17:15:17.939432
39;GALP;1.364;1.509;1.284;C/ Rambla Volart, 2 - Passeig Maragall;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
40;BP;1.379;1.519;1.289;CALLE JOAN GÜELL, 207;BARCELONA;L 06;2019-04-11 17:15:17.939432
41;REPSOL;1.409;1.549;1.329;AVENIDA DIAGONAL, 687;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
42;CEPSA;1.404; -;1.309;CL AVENIDA GAUDI, 1;BARCELONA;L-D 06;2019-04-11 17:15:17.939432
43;REPSOL;1.399;1.529;1.299;CALLE SANT ADRIA, 81;BARCELONA;L-S 06;2019-04-11 17:15:17.939432
44;REPSOL;1.399;1.529;1.299;CALLE SANTANDER, 102;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
45;CEPSA;1.399;1.514;1.299;AVENIDA PARALELO, 179;BARCELONA;L-D 24H;2019-04-11 17:15:17.939432
