,Marca,Gasolina 95,Gasolina 98,Gasóleo A,Direccion,Poblacion,Horario,Fecha
0,PETROMIRALLES,1.279,1.392,1.269,"CALLE PORT DE HAIFA, S/N",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
1,TORTUGA,1.349, ,1.259,"CALLE MAJOR, 26",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
2,PETRONIEVES,1.319,1.419,1.219,"CALLE LLETRA B DE LA ZONA FRANCA, 13",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
3,CEPSA,1.359,1.474,1.269,"CALLE CARACAS, 24",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
4,CONFORT AUTO,1.339,1.475,1.265,"CARRER NUMERO TRES, 50",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
5,REPSOL,1.409,1.539,1.349,"CALLE 6 SECTOR C ZONA FRANCA, S/N",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
6,BP,1.379,1.519,1.289,"CALLE JOAN GÜELL, 207",BARCELONA,L 06,2019-04-14 14:07:58.867659
7,GALP,1.414,1.554,1.294,"PASEO Pº VALLE DE HEBRÓN, 72",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
8,GALP,1.384,1.534,1.289,"CALLE TAJO, 28",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
9,CEPSA,1.409,1.524,1.319,"AVENIDA CLOT, 181",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
10,REPSOL,1.429,1.569,1.319,"AVENIDA MERIDIANA, 267",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
11,REPSOL,1.419,1.559,1.309,"AVENIDA VIRGEN DE MONTSERRAT, 87",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
12,REPSOL,1.419,1.559,1.309,"CALLE LEGALITAT, 59",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
13,GALP,1.364, ,1.244,"Avda. Hospital Militar, 231-237",BARCELONA,L-V 06,2019-04-14 14:07:58.867659
14,OIL PRIX,1.315,1.415,1.189,CARRETERA L'ARRABASSADA KM. 5,BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
15,CEPSA,1.389,1.504,1.289,"CALLE CRAYWINKEL, 1",BARCELONA,L-D 07,2019-04-14 14:07:58.867659
16,GARATGE HORTA,1.348, ,1.268,"PLAZA EIVISSA, 12",BARCELONA,L-D 6,2019-04-14 14:07:58.867659
17,GARDENOIL,1.369, ,1.259,"CALLE EDUARDO CONDE, 11",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
18,CEPSA,1.415,1.529,1.299,"AVENIDA DE ESPLUGUES, 103",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
19,REPSOL,1.429,1.569,1.349,"AVENIDA SARRIA, 126",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
20,SHELL,1.409,1.559,1.309,"CALLE IRADIER, S/N",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
21,RACC,1.229, ,1.149,"AVENIDA DOCTOR MARAÑON, S/N",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
22,MEROIL,1.379,1.519,1.289,"CALLE GALILEU, 210",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
23,REPSOL,1.429,1.569,1.319,"CALLE COLLSEROLA, 2",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
24,NATURGY, , , ,"CALLE DOCTOR AIGUADER, 50",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
25,CEPSA,1.359,1.474,1.269,"CARRETERA C-17 KM. 0,500",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
26,PETROCAT DIRECTE,1.279, ,1.199,"CALLE CIUDAD DE ASUNCIÓN, 69",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
27,PREMOIL,1.215, ,1.156,"CARRER PERE IV, 544",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
28,BP PEDRO IV,1.399,1.542,1.299,"CALLE PEDRO IV, 440",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
29,BALLENOIL,1.289, ,1.199,"CALLE CIUDAD DE ASUNCIÓN, 12",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
30,NATURGY, , , ,"CALLE FRA JUNIPER SERRA, 59-75",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
31,REPSOL,1.429,1.559,1.319,"CL F.JUNIP.SERRA ESQU.SANTANDER, 91",BARCELONA,L-D 07,2019-04-14 14:07:58.867659
32,REPSOL,1.429,1.569,1.319,"CALLE GRAN DE SANT ANDREU, 513",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
33,REPSOL,1.399,1.529,1.299,"CALLE SANT ADRIA, 81",BARCELONA,L-S 06,2019-04-14 14:07:58.867659
34,REPSOL,1.399,1.529,1.299,"CALLE SANTANDER, 102",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
35,BCN OIL,1.279, ,1.209,"CALLE TUCUMAN, 2",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
36,REPSOL,1.429,1.559,1.319,"PASEO GUAYAQUIL, 25",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
37,REPSOL,1.429,1.569,1.349,"AVENIDA DIAGONAL, 687",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
38,REPSOL,1.429,1.569,1.319,"PASEO SANTA COLOMA, 71",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
39,LOW COST LA SAGRERA,1.259, , ,"CALLE SANTANDER, 50",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
40,REPSOL,1.389,1.509,1.299,"PASEO DOCTOR PI Y MOLIST, 110",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
41,REPSOL,1.429,1.569,1.309,"AVENIDA RIO DE JANEIRO, 59",BARCELONA,L-S 06,2019-04-14 14:07:58.867659
42,ESTACION DE SERVICIO FAVENCIA JULIA,1.289,1.389,1.219,"VÍA JULIA, 207",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
43,CEPSA,1.409,1.539,1.319,"PASEO VALLDAURA, 210",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
44,BP,1.379,1.519,1.289,CL VIA FAVENCIA 75 - 121,BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
45,REPSOL,1.429,1.569,1.309,"PASEO VALLDAURA, 106",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
46,GRATSA,1.379,1.499,1.289,"PASEO MARAGALL, 33",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
47,MEROIL,1.326,1.513,1.213,"AVENIDA MERIDIANA, 666",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
48,PETROZAL,1.345,1.399,1.259,"PASSATGE MOÇANVIC, S/N",BARCELONA,L-V 06,2019-04-14 14:07:58.867659
49,CEPSA,1.389,1.504,1.289,"CALLE DIPUTACION, 9",BARCELONA,L-D 07,2019-04-14 14:07:58.867659
50,GALP,1.409,1.524,1.319,"Almogavares, 66",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
51,REPSOL,1.409,1.549,1.319,"CL PASEO ZONA FRANCA, 35",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
52,REPSOL,1.409, ,1.319,"PASSEIG ZONA FRANCA, 82",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
53,REPSOL,1.399,1.539,1.309,"CALLE BALMES, 288",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
54,M AUTOMOCION,1.356,1.495,1.286,"CALLE PERU, 171",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
55,EVOLUTION,1.239,1.285,1.157,"CALLE PERE IV, 79",BARCELONA,L-V 05,2019-04-14 14:07:58.867659
56,SHELL GLORIAS,1.265,1.369,1.189,"AVENIDA DIAGONAL, 189",BARCELONA,L-S 07,2019-04-14 14:07:58.867659
57,GALP,1.389,1.499,1.249,"CALLE BAC DE RODA, 66",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
58,BP ALMOGAVARES,1.409,1.549,1.309,CL ALMOGAVARES 159 - 161,BARCELONA,L-J 06,2019-04-14 14:07:58.867659
59,CEPSA,1.399,1.514,1.309,"CALLE CLOT, 2",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
60,NO HAY, , ,1.243,"CALLE PLOM, 25",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
61,CEPSA,1.399,1.514,1.289,"CALLE LOPE DE VEGA, 125/139",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
62,B-OIL,1.218, ,1.138,"CALLE BAC DE RODA, 130",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
63,CAMPSA,1.399,1.539,1.309,"CALLE PUJADES, 154",BARCELONA,L-D 06,2019-04-14 14:07:58.867659
64,SARAS,1.329,1.469,1.229,"C/TAULAT, 15 ESQ. CIUDAD DE GRANADA, 2-6-8",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
65,GALP, , ,1.149,"CALLE ROC BORONAT, 10",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
66,REPSOL,1.429,1.569,1.329,"AVENIDA DEL LITORAL, 49",BARCELONA,L-D 24H,2019-04-14 14:07:58.867659
67,SHELL VILLA OLIMPICA,1.265,1.369,1.189,"PASEO CALVELL, 2",BARCELONA,L-S 09,2019-04-14 14:07:58.867659
