,Estaciones
0,/g/precios-combustible-gasolinera-cepsa-carretera-as-246-km.-287-en-el-municipio-gijon
1,/g/precios-combustible-gasolinera-repsol-carretera-as-19-km.-44-en-el-municipio-gijon
2,/g/precios-combustible-gasolinera-cepsa-calle-severo-ochoa-36-en-el-municipio-gijon
3,/g/precios-combustible-gasolinera-cepsa-avenida-constitucion-105-en-el-municipio-gijon
4,/g/precios-combustible-gasolinera-alcampo-autopista-as--2-km.-22-en-el-municipio-gijon
5,/g/precios-combustible-gasolinera-shell-avenida-de-los-campones-13-en-el-municipio-gijon
6,/g/precios-combustible-gasolinera-e.s.cerecedo-calle-jose-llama-fernandez-7-en-el-municipio-gijon
7,/g/precios-combustible-gasolinera-carrefour-calle-maestro-amado-moran-sn-en-el-municipio-gijon
8,/g/precios-combustible-gasolinera-cepsa-carretera-n-632-km.-607-en-el-municipio-gijon
9,/g/precios-combustible-gasolinera-bp-gijon---carbonera-calle-graham-bell-575-en-el-municipio-gijon
10,/g/precios-combustible-gasolinera-repsol-carretera-as-248-km.-3600-en-el-municipio-gijon
11,/g/precios-combustible-gasolinera-cepsa-autovia-as-i-km.-37-en-el-municipio-gijon
12,/g/precios-combustible-gasolinera-galp-carretera-as-ii-km.-2070-en-el-municipio-gijon
13,/g/precios-combustible-gasolinera-oilmaraa-camino-del-fontan-590-en-el-municipio-gijon
14,/g/precios-combustible-gasolinera-la-estrella-de-qatar-zona-calle-manuel-vigil-montoto-80-en-el-municipio-gijon
15,/g/precios-combustible-gasolinera-repsol-poligono-los-campones-inters.-as-19-parc.1-y-4-tremaes-carretera-sn-en-el-municipio-gijon
16,/g/precios-combustible-gasolinera-campsa-calle-carmen-24-en-el-municipio-gijon
17,/g/precios-combustible-gasolinera-repsol-avenida-portugal-44-en-el-municipio-gijon
18,/g/precios-combustible-gasolinera-galp-avenida-de-la-argentina-sn-en-el-municipio-gijon
19,/g/precios-combustible-gasolinera-repsol-cl-santa-doradia-22-en-el-municipio-gijon
20,/g/precios-combustible-gasolinera-repsol-calle-fernandez-ladreda-45-en-el-municipio-gijon
21,/g/precios-combustible-gasolinera-washmax-carretera-as-247-km.-1-en-el-municipio-gijon
22,/g/precios-combustible-gasolinera-repsol-carretera-viesques-km.-sn-en-el-municipio-gijon
23,/g/precios-combustible-gasolinera-repsol-carretera-as-248-km.-20-en-el-municipio-gijon
24,/g/precios-combustible-gasolinera-cepsa-avenida-principe-de-asturias-78-en-el-municipio-gijon
25,/g/precios-combustible-gasolinera-galp-poligono-centro-de-almacenamiento-galp-musel-gijon-sn-en-el-municipio-gijon
26,/g/precios-combustible-gasolinera-edp-avenida-de-oviedo-176-en-el-municipio-gijon
27,/g/precios-combustible-gasolinera-autonetoil-avenida-eduardo-castro-92-en-el-municipio-gijon
28,/g/precios-combustible-gasolinera-empresoil-calle-paulina-canga-4-en-el-municipio-gijon
29,/g/precios-combustible-gasolinera-e.s.-roces-avenida-roces-n-en-el-municipio-gijon
30,/g/precios-combustible-gasolinera-repsol-avenida-constitucion-220-en-el-municipio-gijon
31,/g/precios-combustible-gasolinera-shell-carretera-as-19-km.-sn-en-el-municipio-gijon
32,/g/precios-combustible-gasolinera-easygas-calle-nicolas-copernico-311-en-el-municipio-gijon
33,/g/precios-combustible-gasolinera-la-cooperativa-poligono-de-roces-n-5---carretera-carbonera-2230-en-el-municipio-gijon
34,/g/precios-combustible-gasolinera-saras-avenida-de-la-metalurgia-sn-en-el-municipio-gijon
35,/g/precios-combustible-gasolinera-esoil-poligono-espiritu-santo-parcela-17-n-634-santander-oviedo-km-4017-en-el-municipio-oviedo
36,/g/precios-combustible-gasolinera-galp-carretera-as-242-km.-1600-en-el-municipio-oviedo
37,/g/precios-combustible-gasolinera-repsol-carretera-nacional-634-km.-406-en-el-municipio-oviedo
38,/g/precios-combustible-gasolinera-repsol-cl-la-tenderina-baja-s.n.-en-el-municipio-oviedo
39,/g/precios-combustible-gasolinera-repsol-cl-ba.-ponton-de-vaqueros-s.n.-en-el-municipio-oviedo
