,Marca,Gasolina 95,Gasolina 98,Gasóleo A,Direccion,Poblacion,Horario,Fecha
0,PETROZAL,1.345€,1.399€,1.259€,"PASSATGE MOÇANVIC, S/N",BARCELONA,L-V 06,2019-04-13 18:19:11.317920
1,PREMOIL,1.215€, -,1.156€,"CARRER PERE IV, 544",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
2,CEPSA,1.389€,1.504€,1.289€,"CALLE LOPE DE VEGA, 125/139",BARCELONA,L-D 06,2019-04-13 18:19:11.317920
3,B-OIL,1.218€, -,1.138€,"CALLE BAC DE RODA, 130",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
4,EVOLUTION,1.239€,1.285€,1.157€,"CALLE PERE IV, 79",BARCELONA,L-V 05,2019-04-13 18:19:11.317920
5,M AUTOMOCION,1.356€,1.495€,1.286€,"CALLE PERU, 171",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
6,SARAS,1.329€,1.469€,1.229€,"C/TAULAT, 15 ESQ. CIUDAD DE GRANADA, 2-6-8",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
7,GALP,1.389€,1.499€,1.249€,"CALLE BAC DE RODA, 66",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
8,REPSOL,1.429€,1.569€,1.329€,"AVENIDA DEL LITORAL, 49",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
9,SHELL VILLA OLIMPICA,1.265€,1.369€,1.189€,"PASEO CALVELL, 2",BARCELONA,L-S 09,2019-04-13 18:19:11.317920
10,SHELL GLORIAS,1.265€,1.369€,1.189€,"AVENIDA DIAGONAL, 189",BARCELONA,L-S 07,2019-04-13 18:19:11.317920
11,REPSOL,1.409€,1.539€,1.349€,"CALLE 6 SECTOR C ZONA FRANCA, S/N",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
12,CEPSA,1.409€,1.524€,1.319€,"CALLE ROGER DE FLOR, 58",BARCELONA,L-D 06,2019-04-13 18:19:11.317920
13,REPSOL,1.409€,1.549€,1.319€,"CALLE DIPUTACION, 371",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
14,REPSOL,1.399€,1.539€,1.309€,"CALLE BALMES, 288",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
15,CAMPSA,1.399€,1.539€,1.309€,"CALLE PUJADES, 154",BARCELONA,L-D 06,2019-04-13 18:19:11.317920
16,GALP,1.399€,1.514€,1.309€,"Almogavares, 66",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
17,CEPSA,1.399€,1.514€,1.309€,"CALLE CLOT, 2",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
18,CEPSA,1.409€, -,1.319€,"CL AVENIDA GAUDI, 1",BARCELONA,L-D 06,2019-04-13 18:19:11.317920
19,TORTUGA,1.349€, -,1.259€,"CALLE MAJOR, 26",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
20,GALP,1.379€,1.459€,1.279€,"Pº de la Zona Franca, 221-239",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
21,GRATSA,1.379€, -,1.289€,CASANOVA 23,BARCELONA,L-D 06,2019-04-13 18:19:11.317920
22,CONFORT AUTO,1.339€,1.475€,1.265€,"CARRER NUMERO TRES, 50",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
23,ESTACION SERVICIO UBACH SA,1.379€,1.659€,1.299€,"AVINGUDA PARAL.LEL, 25",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
